"ISIN 
","DESCRIPTOR 
","WEIGHTED AVERAGE PRICE 
","LAST TRADE PRICE 
","WEIGHTED  AVERAGE YIELD 
(YTM) (%)","LAST  TRADE YIELD  
(Annualized) (%)","VALUE 
 (₹ Lakhs)","NO. OF TRADES 
"
"INE094A08176","HINDUSTAN PETROLEUM CORPORATION LIMITED SR I 6.73 NCD 29AP30 FVRS1LAC
","100.0553","100.0553","6.7000","6.7000","50,000.00","1"
"INE556F08KZ3","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR I 6.66 BD 25OT28 FVRS1LAC
","99.3932","99.3932","6.8800","6.8800","32,500.00","2"
"INE163N08289","ONGC PETRO ADDITIONS LIMITED SR XII 8.29 NCD 25JN27 FVRS1LAC
","101.4306","101.4306","7.1500","7.1500","32,000.00","2"
"INE776C08075","GMR AIRPORTS LIMITED 5 BD 13AG28 FVRS1LAC
","100.0042","100.0000","10.5000","10.5000","31,500.00","2"
"INE242A08551","INDIAN OIL CORPORATION LIMITED SR XXVI 7.36 NCD 16JL29 FVRS1LAC
","102.4409","102.4409","6.6200","6.6200","29,838.00","1"
"INE261F08EP4","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 26A 6.66 BD 12OT28 FVRS1LAC
","99.4080","99.4029","6.8755","6.8800","20,000.00","4"
"INE414G07JL7","MUTHOOT FINANCE LIMITED 8.65 NCD 31JN28 FVRS1LAC
","101.5317","101.5317","7.9000","7.9000","15,000.00","1"
"INE134E08NP7","POWER FINANCE CORPORATION LIMITED SR 248B 7.45 NCD 15JL28 FVRS1LAC
","101.5257","101.5257","6.8400","6.8400","10,000.00","2"
"INE019A07464","JSW STEEL LIMITED TR 1 8.35 NCD 30AG29 FVRS1LAC
","101.4108","101.4108","7.9000","7.9000","10,000.00","1"
"INE414G07JF9","MUTHOOT FINANCE LIMITED 9.02 NCD 14JL27 FVRS1LAC
","101.9903","102.0308","7.8333","7.8100","7,500.00","3"
"INE040A08914","HDFC BANK LIMITED SR AB002 7.97 NCD 17FB33 FVRS1LAC
","103.9557","103.9557","7.2500","7.2500","5,500.00","3"
"INE261F08EF5","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 24E 7.80 BD 15MR27 FVRS1LAC
","101.5687","101.5687","6.6700","6.6700","5,000.00","1"
"INE556F08KM1","-","101.7409","101.7409","6.6900","6.6900","5,000.00","1"
"INE916DA7SB4","KOTAK MAHINDRA PRIME LIMITED 7.90 NCD 13JN26 FVRS1LAC
","100.4421","100.4421","6.4600","6.4600","5,000.00","1"
"INE134E08NJ0","POWER FINANCE CORPORATION LIMITED SR 245A 7.24 BD 15JN35 FVRS1LAC
","100.3171","100.3171","7.1800","7.1800","5,000.00","1"
"INE296A07TM8","BAJAJ FINANCE LIMITED 7.11 NCD 10JL28 FVRS1LAC
","99.7292","99.7292","7.2000","7.2000","5,000.00","1"
"INE261F08EO7","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 25G 7.48 BD 15SP28 FVRS1LAC
","101.6531","101.6531","6.8600","6.8600","5,000.00","1"
"INE040A08849","HDFC BANK LIMITED SR Y001 6.43 NCD 29SP25 FVRS10LAC
","99.9749","99.9749","6.3000","6.3000","5,000.00","1"
"INE0TLC07085","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP A 9.30 BD 07MY27 FVRS1LAC
","100.4000","100.4100","9.2790","9.2755","4,000.00","4"
"INE020B08DV3","RURAL ELECTRIFICATION CORPORATION LIMITED SR 213 6.92 BD 20MR32 FVRS10LAC
","98.7683","98.7683","7.1414","7.1439","4,000.00","1"
